case,median_us,min_us,max_us,dispatches,dispatches_per_s,guest_allocations,estimated_heap_bytes,peak_registers,bytecode_bytes
integer_loop,3498.416,3370.333,3948.833,1300010,371599604,0,384,6,152
fib_40_x1000,1681.250,1668.375,1781.750,623010,370563569,1,448,17,336
known_calls_10000,547.250,539.416,592.000,190010,347208771,1,448,14,216
native_calls_10000,1230.375,1207.833,1371.875,160010,130049782,0,384,10,176
float_loop_10000,423.625,400.000,444.250,130010,306898790,10002,640512,6,152
list_iteration_1000,146.417,145.166,155.625,47020,321137573,1001,64488,11,272
